Project Name,Queue Position,Interconnection Request Receive Date,Application Status,Study Process,Type-1,Type-2,Type-3,Fuel-1,Fuel-2,Fuel-3,MW-1,MW-2,MW-3,Net MWs to Grid,MWh-1,MWh-2,MWh-3,"Full Capacity, Partial or Energy Only (FC/P/EO)",TPD Allocation Percentage,Off-Peak Deliverability and Economic Only,TPD Allocation Group,County,State,Utility,PTO Study Region,Station or Transmission Line,Proposed On-line Date (as filed with IR),Current On-line Date,Suspension Status,Feasibility Study or Supplemental Review,System Impact Study or Phase I Cluster Study,Facilities Study (FAS) or Phase II Cluster Study,Optional Study (OS),Interconnection Agreement Status,clean substation name,Best GIS Substation Match,GIS Lat,GIS Long,STATEFP,COUNTYFP,Transmission Capacity,Permit Status,Retired Plant Inverse Distance,Future Transmission Inverse Distance
KEYHOLE WIND,1784,4/6/2020,ACTIVE,C13,Wind Turbine,,,Wind Turbine,,,100,,,100.0,,,,Energy Only,,Off-Peak Deliverability,Group 3,kern,CA,SCE,Northern,Whirlwind Substation 230kV,12/1/2024,6/28/2028,,NA,Complete,Complete,NA,Executed,Whirlwind,Whirlwind,34.85927794,-118.4352172,6,29,2074.870168930657,0,0.04532432027837859,0.020569484251498363
REXFORD 2 SOLAR FARM,1789,4/1/2020,ACTIVE,C13,Storage,Photovoltaic,,Battery,Solar,,200,200,,200.0,,,,Full Capacity,,Off-Peak Deliverability,Group D,tulare,CA,SCE,Northern,Vestal Substation 230kV,4/1/2023,9/1/2026,,NA,Complete,Complete,NA,,Vestal,Vestal,35.8417435,-119.085048,6,107,1599.9089415603198,1,0.08655669349842846,0.02265335355160122
ARTEMIS,1980,3/31/2021,ACTIVE,C14,Photovoltaic,Storage,,Solar,Battery,,412.336,412.336,,400.0,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,PGAE,Kern,Arco 230 kV,11/1/2024,10/1/2027,,NA,Complete,,NA,,,,35.37417712385117,-118.93712856197284,6,29,2036.0487834004637,0,0.17498893280411038,0.1006438369190601
PHAENON,1983,4/1/2021,ACTIVE,C14,Photovoltaic,Storage,,Solar,Battery,,102.254047,101.763518,,100.0,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,PGAE,Kern,Shafter 115 kV,12/31/2024,10/11/2029,,NA,Complete,,NA,,,,35.3457418303529,-118.93928009562565,6,29,910.2394825820261,0,0.11601791679801815,0.07861661255630473
BUTTONBUSH SOLAR 2,1987,4/3/2021,ACTIVE,C14,Photovoltaic,Storage,,Solar,Battery,,358.2,358.2,,350.0,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,PGAE,Kern,Midway 500 kV,4/1/2028,3/1/2028,,NA,Complete,,NA,,,,35.356373492955385,-118.9645596641606,6,29,1699.743633564867,1,0.14026496236470926,0.09159398579366662
CALLINAN SOLAR AND STORAGE,1992,4/6/2021,ACTIVE,C14,Storage,Photovoltaic,,Battery,Solar,,159.4008,160.3879,,150.0,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,PGAE,Kern,Arco 230 kV,10/1/2025,10/1/2025,,NA,Complete,,NA,,,,35.36577755266781,-118.9212013788786,6,29,2395.391008549872,1,0.13816042939775955,0.08708982822041306
EIGER ENERGY STORAGE,1994,4/6/2021,ACTIVE,C14,Storage,,,Battery,,,100.9,,,100.0,,,,Full Capacity,,,,kern,CA,PGAE,Kern,Lamont 115 kV,1/1/2025,3/15/2026,,NA,Complete,,NA,,,,35.34973603078308,-118.94421682866265,6,29,1672.1718198046105,1,0.12378321416672311,0.08233197305315536
EVEREST ENERGY STORAGE,1995,4/6/2021,ACTIVE,C14,Storage,,,Battery,,,201.8,,,200.0,,,,Full Capacity,,,,kern,CA,PGAE,Kern,Kern PP 230 kV,1/1/2025,10/1/2030,,NA,Complete,,NA,,,,35.34767021258315,-118.92473656266277,6,29,2265.9563438797686,1,0.11284297035369785,0.07653466685222064
ISLAY,1998,4/7/2021,ACTIVE,C14,Storage,Wind Turbine,,Battery,Wind Turbine,,756.054,1518.472,,1500.0,,,,Full Capacity,,Off-Peak Deliverability,,san luis obispo,CA,PGAE,Kern,Diablo Canyon 500 kV,4/1/2028,11/30/2030,,NA,Complete,,NA,,,,35.33823224378942,-120.68672515564478,6,79,2246.646701146531,1,0.06294110688375212,0.013909682036642258
SERENA STORAGE,2001,4/10/2021,ACTIVE,C14,Storage,,,Battery,,,114.264,,,110.0,,,,Full Capacity,,,,kern,CA,PGAE,Kern,Kern PP 230 kV,10/30/2025,1/30/2026,,NA,Complete,,NA,,,,35.39361685827826,-118.91971829393098,6,29,1066.1482221889678,1,0.1985269441830271,0.10938675134865118
VALLEY SUNLIGHT REFINERY,2004,4/10/2021,ACTIVE,C14,Photovoltaic,Storage,,Solar,Battery,,410,411.3018,,400.0,,,,Full Capacity,,Off-Peak Deliverability,,kings,CA,PGAE,Kern,Gates-Midway 230 kV Line,6/10/2025,12/30/2028,,NA,Complete,,NA,,,,36.27239615588702,-119.7343503245976,6,31,2025.0063833316049,1,0.1296650744526295,0.06442987050316656
CALLOWAY BESS,2006,4/12/2021,ACTIVE,C14,Storage,,,Battery,,,92.07,,,82.9,,,,Full Capacity,,,,kern,CA,PGAE,Kern,7th Standard 115 kV,6/1/2024,6/1/2024,,NA,Complete,,NA,,,,35.37007191452033,-118.94776967663174,6,29,479.459231008837,0,0.17221365387806892,0.10076984114935132
SALINAN ENERGY,2008,4/11/2021,ACTIVE,C14,Wind Turbine,Storage,,Wind Turbine,Battery,,1190,319.35,,1148.37,,,,Full Capacity,,Off-Peak Deliverability,,san luis obispo,CA,PGAE,Kern,Diablo-Gates 500 kV Line,4/11/2028,4/11/2028,,NA,Complete,,NA,,,,35.3170941765378,-120.65523495005141,6,79,2529.653197683812,0,0.051847741199708246,0.014150756336541758
CANNAE,2010,4/6/2021,ACTIVE,C14,Photovoltaic,Storage,,Solar,Battery,,118.5,115,,115.0,,,,Full Capacity,,,,kern,CA,PGAE,Kern,Midway 115 kV,12/31/2024,12/31/2024,,NA,Complete,,NA,,,,35.38562391428887,-118.94822376025118,6,29,591.9960065858168,1,0.2411499817604884,0.11991995986750395
SEAGLASS OFFSHORE WIND,2012,4/15/2021,ACTIVE,C14,Wind Turbine,,,Wind Turbine,,,628.65,,,606.1024,,,,Full Capacity,,Off-Peak Deliverability,,san luis obispo,CA,PGAE,Kern,Morro Bay 230 kV,3/1/2028,3/1/2028,,NA,Complete,,NA,,,,35.32740813209799,-120.67088218597698,6,79,544.5920277610189,0,0.056854444637698405,0.01403194781589561
ANDROMEDA,2013,4/9/2021,ACTIVE,C14,Storage,Photovoltaic,,Battery,Solar,,172.835,172.835,,160.0,,,,Full Capacity,,Off-Peak Deliverability,,tulare,CA,PGAE,Kern,Alpaugh 115 kV,12/31/2026,4/10/2029,,NA,Complete,,NA,,,,36.248256255403795,-119.22880627109755,6,107,998.6341250137878,0,0.026527975044133893,0.02396124425060048
BRAVO WIND,2014,4/12/2021,ACTIVE,C14,Wind Turbine,,,Wind Turbine,,,1464.6,,,1400.0,,,,Full Capacity,,Off-Peak Deliverability,,san luis obispo,CA,PGAE,Kern,Diablo Canyon 500 kV,3/1/2028,4/1/2028,,NA,Complete,,NA,,,,35.36681872045361,-120.6638674894117,6,79,604.0753696892937,1,0.05708290219975466,0.0145911355587765
CHERRY LANE HYBRID,2015,4/14/2021,ACTIVE,C14,Storage,Photovoltaic,,Battery,Solar,,310.63,310.63,,300.0,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,PGAE,Kern,Wheeler Ridge 230 kV,6/1/2025,6/1/2026,,NA,Complete,,NA,,,,35.34544034600777,-118.93944359425518,6,29,2840.3080318542834,0,0.11563646524923521,0.07845717683255378
ARIELLA SOLAR,2017,4/14/2021,ACTIVE,C14,Photovoltaic,Storage,,Solar,Battery,,163.268,163.268,,160.0,,,,Full Capacity,,Off-Peak Deliverability,,tulare,CA,PGAE,Kern,Olive 115 kV,12/31/2023,6/1/2025,,NA,Complete,,NA,,,,36.25656558507021,-119.24447805355044,6,107,1236.6014052613612,0,0.027591484978255598,0.024735624997758117
HIDDEN KNOLLS BESS,2018,4/14/2021,ACTIVE,C14,Storage,,,Battery,,,30.8,,,30.0,,,,Full Capacity,,,,kern,CA,PGAE,Kern,Arco-Carneras 70 kV Line,6/1/2024,9/1/2025,,NA,Complete,,NA,,,,35.36471201967339,-118.94089161352055,6,29,1765.4035138483757,1,0.15244276414935204,0.09327645724270386
MARLEY,2031,4/1/2021,ACTIVE,C14,Storage,,,Battery,,,206.091,,,200.0,,,,Full Capacity,,,,riverside,CA,SCE,Eastern,Wildlife Substation 230 kV,11/1/2024,10/1/2027,,NA,Complete,,NA,,Wildlife,,33.810941278726766,-117.06507306262397,6,65,1125.2392537509504,0,0.07962706443301698,0.030102411596484142
TROLLEY,2032,4/1/2021,ACTIVE,C14,Storage,,,Battery,,,405.663412,,,400.0,,,,Full Capacity,,,,san bernardino,CA,SCE,Eastern,Etiwanda Substation 230 kV,6/30/2024,11/9/2030,,NA,Complete,,NA,,Etiwanda,Etiwanda,34.08917006,-117.5270465,6,71,276.57809707151523,1,4.920976102849549,0.10373794739449299
CARMINE,2033,4/1/2021,ACTIVE,C14,Storage,,,Battery,,,360.296,,,350.0,,,,Full Capacity,,Off-Peak Deliverability,,riverside,CA,SCE,Eastern,Colorado River Substation 230 kV,11/1/2024,10/1/2027,,NA,Complete,,NA,,Colorado River,Colorado River,33.57898011,-114.8159277,6,65,1423.04849669408,0,0.010618442225589738,
HUB CITY ENERGY STORAGE,2034,4/3/2021,ACTIVE,C14,Storage,,,Battery,,,261,,,250.0,,,,Full Capacity,,,,san bernardino,CA,SCE,Eastern,Devers 220kV,6/1/2025,12/1/2025,,NA,Complete,,NA,,,,34.187116296827725,-117.35466719605671,6,71,1279.1513405788983,0,0.12013490080165265,0.06238726953409842
REDONDA,2036,4/5/2021,ACTIVE,C14,Photovoltaic,Storage,,Solar,Battery,,273.0212,268.7138,,250.0,,,,Full Capacity,,Off-Peak Deliverability,,riverside,CA,SCE,Eastern,Red Bluff Substation 220 kV,12/1/2024,10/10/2029,,NA,Complete,,NA,,Red Bluff,Red Bluff,40.18238662,-122.2446178,6,65,924.4254987535874,0,0.03521596681254858,
SARGASSO STORAGE,2037,4/6/2021,ACTIVE,C14,Storage,,,Battery,,,202.8,,,200.0,,,,Full Capacity,,,,san bernardino,CA,SCE,Eastern,San Bernadino 230 kV,12/15/2024,4/15/2026,,NA,Complete,,NA,,,,34.18032718164043,-117.37131290820172,6,71,1741.0018246455982,0,0.150345251498464,0.06179868714464723
ATHOS STORAGE 1,2039,4/7/2021,ACTIVE,C14,Storage,,,Battery,,,254.77,,,250.0,,,,Full Capacity,,,,riverside,CA,SCE,Eastern,Red Bluff Substation 230 kV,12/31/2023,6/1/2025,,NA,Complete,,NA,,Red Bluff,Red Bluff,40.18238662,-122.2446178,6,65,1903.0343484233906,1,0.03521596681254858,
ATHOS STORAGE 2,2041,4/7/2021,ACTIVE,C14,Storage,,,Battery,,,254.77,,,250.0,,,,Full Capacity,,,,riverside,CA,SCE,Eastern,Red Bluff Substation 230 kV,12/31/2023,6/1/2025,,NA,Complete,,NA,,Red Bluff,Red Bluff,40.18238662,-122.2446178,6,65,2891.670730473417,1,0.03521596681254858,
EASLEY,2042,4/8/2021,ACTIVE,C14,Storage,Photovoltaic,,Battery,Solar,,675.65,675.65,,650.0,,,,Full Capacity,,Off-Peak Deliverability,,riverside,CA,SCE,Eastern,Red Bluff Substation 500 kV,12/31/2024,4/1/2025,,NA,Complete,,NA,,Red Bluff,Red Bluff,40.18238662,-122.2446178,6,65,2923.42656170676,0,0.03521596681254858,
PICADOR ENERGY STORAGE,2043,4/6/2021,ACTIVE,C14,Storage,,,Battery,,,252,,,250.0,,,,Full Capacity,,,,san bernardino,CA,SCE,Eastern,Etiwanda Substation 230 kV,8/1/2024,8/1/2024,,NA,Complete,,NA,,Etiwanda,Etiwanda,34.08917006,-117.5270465,6,71,1120.955017039624,0,4.920976102849549,0.10373794739449299
INVICTUS,2045,4/10/2021,ACTIVE,C14,Storage,Photovoltaic,,Battery,Solar,,430.192,430.192,,300.0,,,,Full Capacity,,Off-Peak Deliverability,,riverside,CA,SCE,Eastern,Colorado River 230 kV,12/15/2025,12/15/2025,,NA,Complete,,NA,,,,33.776392376610495,-117.06846342242125,6,65,852.1224902088035,1,0.09759407238438043,0.031107280743486766
TWIN PALMS SOLAR,2048,4/8/2021,ACTIVE,C14,Storage,Photovoltaic,,Battery,Solar,,288.144,288,,280.0,,,,Full Capacity,,Off-Peak Deliverability,,riverside,CA,SCE,Eastern,Colorado River Substation 230 kV,10/30/2025,12/30/2026,,NA,Complete,,NA,,Colorado River,Colorado River,33.57898011,-114.8159277,6,65,1110.3587667791894,1,0.010618442225589738,
ARDILLA,2049,4/9/2021,ACTIVE,C14,Storage,,,Battery,,,410.76,,,400.0,,,,Full Capacity,,,,riverside,CA,SCE,Eastern,Devers Substation 230kV,11/30/2025,10/10/2030,,NA,Complete,,NA,,Devers,Devers,33.93691612,-116.5773269,6,65,2541.745191780564,0,1.1957785203972955,
ETERNAL 2,2050,4/13/2021,ACTIVE,C14,Storage,Storage,,Pumped-Storage hydro,Battery,,1417,1434.4,,1400.0,,,,Full Capacity,,Off-Peak Deliverability,,riverside,CA,SCE,Eastern,Red Bluff Substation 500 kV,12/1/2026,9/10/2029,,NA,Complete,,NA,,Red Bluff,Red Bluff,40.18238662,-122.2446178,6,65,792.5079434719435,0,0.03521596681254858,
SALVADOR,2051,4/13/2021,ACTIVE,C14,Photovoltaic,Storage,,Solar,Battery,,65,404.8,,400.0,,,,Full Capacity,,Off-Peak Deliverability,,riverside,CA,SCE,Eastern,MIRAGE Substation 220 kV,12/15/2025,12/15/2025,,NA,Complete,,NA,,MIRAGE,Mirage,33.81850232,-116.3701104,6,65,2089.480369421223,1,0.0766648847231767,0.12318021690107817
EUISMOD,2055,4/1/2021,ACTIVE,C14,Photovoltaic,Storage,,Solar,Battery,,623.48,623.48,,600.0,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,SCE,Northern,WHIRLWIND Substation 230 kV,6/30/2024,11/9/2030,,NA,Complete,,NA,,WHIRLWIND,Whirlwind,34.85927794,-118.4352172,6,29,1686.0558141816025,1,0.04532432027837859,0.020569484251498363
QUERCUS,2056,4/1/2021,ACTIVE,C14,Storage,,,Battery,,,405.663412,,,400.0,,,,Full Capacity,,,,los angeles,CA,SCE,Northern,Pardee-Vincent No1 230kV Line,6/30/2024,8/9/2033,,NA,Complete,,NA,,,,34.07148995328083,-118.2218267290045,6,37,1983.192724023036,0,0.2883956317442608,0.09139070983117578
FOUR CREEKS ENERGY STORAGE,2058,4/2/2021,ACTIVE,C14,Storage,,,Battery,,,261,,,250.0,,,,Full Capacity,,,,tulare,CA,SCE,Northern,Rector Substation 230 kV,6/1/2025,6/1/2025,,NA,Complete,,NA,,Rector,Rector,36.30430556,-119.2445694,6,107,1781.9905098800077,1,0.02747304807626117,0.028264900056618154
J90 ENERGY STORAGE,2059,4/2/2021,ACTIVE,C14,Storage,,,Battery,,,261,,,250.0,,,,Full Capacity,,,,los angeles,CA,SCE,Northern,Antelope Substation 230 kV,6/1/2025,6/1/2025,,NA,Complete,,NA,,Antelope,Antelope,35.6579012,-119.9964345,6,37,2976.4453712494123,0,0.017964242809693828,
SAGEBRUSH ENERGY STORAGE,2060,4/5/2021,ACTIVE,C14,Storage,,,Battery,,,528,,,500.0,,,,Full Capacity,,,,kern,CA,SCE,Northern,Vincent Substation 230 kV,7/1/2025,7/1/2025,,NA,Complete,,NA,,Vincent,Vincent,34.48596597,-118.1184808,6,29,2194.9653241013484,1,0.03656127071827804,0.023316840873773073
JUNIPER STORAGE,2061,4/5/2021,ACTIVE,C14,Photovoltaic,Storage,,Solar,Battery,,153.5,153.5,,150.0,,,,Full Capacity,,Off-Peak Deliverability,,los angeles,CA,SCE,Northern,Vincent - Pearblossom 230 kV line,6/30/2024,11/9/2030,,NA,Complete,,NA,,,,34.07934431786293,-118.24608721200205,6,37,1855.656717596308,0,0.24942216809634082,0.0749580605470477
DORIAN STORAGE,2062,4/6/2021,ACTIVE,C14,Storage,,,Battery,,,213.5926,,,200.0,,,,Full Capacity,,Off-Peak Deliverability,,los angeles,CA,SCE,Northern,Antelope Substation 230 kV,10/1/2025,10/1/2025,,NA,Complete,,NA,,Antelope,Antelope,35.6579012,-119.9964345,6,37,2087.433990749779,1,0.017964242809693828,
ELION ENERGY STORAGE,2064,4/6/2021,ACTIVE,C14,Storage,,,Battery,,,302.4,,,300.0,,,,Full Capacity,,,,los angeles,CA,SCE,Northern,Antelope ValleySubstation 230 kV,8/1/2024,8/1/2024,,NA,Complete,,NA,,Antelope,Antelope,35.6579012,-119.9964345,6,37,2018.1189709848873,1,0.017964242809693828,
DRIFTER ENERGY STORAGE,2066,4/6/2021,ACTIVE,C14,Storage,,,Battery,,,504.8,,,500.0,,,,Full Capacity,,,,ventura,CA,SCE,Northern,Moorpark Substation 230 kV,8/1/2024,8/1/2024,,NA,Complete,,NA,,Moorpark,Moorpark,34.28092761,-118.9030066,6,111,2422.9193210435374,0,0.10670435147803053,0.029188820421092776
BOBOR STORAGE,2068,4/7/2021,ACTIVE,C14,Storage,,,Battery,,,152.1,,,150.0,,,,Full Capacity,,,,tulare,CA,SCE,Northern,Rector Substation 230 kV,12/15/2025,12/15/2025,,NA,Complete,,NA,,Rector,Rector,36.30430556,-119.2445694,6,107,1871.2570104956778,0,0.02747304807626117,0.028264900056618154
FAIRMONT SOLAR I,2075,4/8/2021,ACTIVE,C14,Storage,Photovoltaic,,Battery,Solar,,12,37.8,,20.0,,,,Full Capacity,,Off-Peak Deliverability,,los angeles,CA,SCE,Northern,Antelope-Neenach 66kV line,12/15/2023,12/15/2023,,NA,Complete,,NA,,,,34.066580401072095,-118.24659786242745,6,37,2168.480049680111,0,0.3801148490906744,0.07717233485168352
SOLEIL CANTIL,2078,4/9/2021,ACTIVE,C14,Photovoltaic,Storage,,Solar,Battery,,372.3,225,,350.0,,,,Full Capacity,,Off-Peak Deliverability,,kern,CA,SCE,Northern,Windhub Substation 500kV,6/1/2024,6/1/2024,,NA,Complete,,NA,,Windhub,Windhub,35.03484956,-118.2806898,6,29,1909.6601131382154,1,1.0502584294611754,0.01573197693051613
RANGELAND SOLAR,2080,4/12/2021,ACTIVE,C14,Photovoltaic,Storage,,Solar,Battery,,113.832,102.672,,210.0,,,,Full Capacity,,Off-Peak Deliverability,,los angeles,CA,SCE,Northern,Antelope- Magunden #2 230 kV line,10/30/2024,3/1/2026,,NA,Complete,,NA,,,,34.07745300940506,-118.22540682315429,6,37,1774.740689807403,0,0.2530742041262355,0.08701154874985931
MINERAL KING SOLAR,2081,4/9/2021,ACTIVE,C14,Photovoltaic,Storage,,Solar,Battery,,215.4124,214.0983,,200.0,,,,Full Capacity,,Off-Peak Deliverability,,tulare,CA,SCE,Northern,Rector Substation 220 kV,12/31/2026,12/31/2026,,NA,Complete,,NA,,Rector,Rector,36.30430556,-119.2445694,6,107,1967.043870600616,1,0.02747304807626117,0.028264900056618154
ANODE,2082,4/12/2021,ACTIVE,C14,Storage,,,Battery,,,300,,,300.0,,,,Full Capacity,,,,los angeles,CA,SCE,Northern,ANTELOPE Substation 220 kV,6/1/2024,6/1/2024,,NA,Complete,,NA,,ANTELOPE,Antelope,35.6579012,-119.9964345,6,37,2727.2263905938494,1,0.017964242809693828,
SOLSKEN,2085,4/9/2021,ACTIVE,C14,Storage,Photovoltaic,,Battery,Solar,,345,464.42,,460.0,,,,Full Capacity,,Off-Peak Deliverability,,tulare,CA,SCE,Northern,Springville Substation 230 kV,4/15/2024,4/15/2024,,NA,Complete,,NA,,Springville,Springville,36.10795759,-118.9380583,6,107,1438.2130877182833,0,0.023808065297144815,0.01476653228194327
GREASEWOOD ENERGY STORAGE,2089,4/14/2021,ACTIVE,C14,Storage,,,Battery,,,513.2,,,500.0,,,,Full Capacity,,,,kern,CA,SCE,Northern,Whirlwind Substation 500 kV,6/1/2025,10/10/2030,,NA,Complete,,NA,,Whirlwind,Whirlwind,34.85927794,-118.4352172,6,29,2171.511115829689,0,0.04532432027837859,0.020569484251498363
GWENT STORAGE 2,2090,4/14/2021,ACTIVE,C14,Storage,,,Battery,,,473,,,465.0,,,,Full Capacity,,,,ventura,CA,SCE,Northern,Moorpark Substation 230 kV,12/15/2023,12/15/2023,,NA,Complete,,NA,,Moorpark,Moorpark,34.28092761,-118.9030066,6,111,642.4460365867369,0,0.10670435147803053,0.029188820421092776
MAATHAI,2091,4/14/2021,ACTIVE,C14,Storage,,,Battery,,,256,,,250.0,,,,Full Capacity,,,,los angeles,CA,SCE,Northern,Vincent Substation 230 kV,12/15/2023,12/15/2023,,NA,Complete,,NA,,Vincent,Vincent,34.48596597,-118.1184808,6,37,886.879169084485,0,0.03656127071827804,0.023316840873773073
ROSA STORAGE,2092,4/14/2021,ACTIVE,C14,Storage,,,Battery,,,511.725,,,500.0,,,,Full Capacity,,,,ventura,CA,SCE,Northern,Moorpark Substation 230 kV,6/1/2025,6/1/2026,,NA,Complete,,NA,,Moorpark,Moorpark,34.28092761,-118.9030066,6,111,2493.018441584957,1,0.10670435147803053,0.029188820421092776
HIDALGO ENERGY STORAGE,2096,4/2/2021,ACTIVE,C14,Storage,,,Battery,,,408.12,,,400.0,,,,Full Capacity,,,,san bernardino,CA,SCE,NOL,Kramer-Lugo #1 220 kV,6/1/2024,10/1/2027,,NA,Complete,,NA,,,,34.17578761638008,-117.38348179710479,6,71,855.2611633777366,0,0.18268603954025742,0.06219678636657002
SIENNA SOLAR 2,2097,4/2/2021,ACTIVE,C14,Photovoltaic,Storage,,Solar,Battery,,56,56,,55.0,,,,Full Capacity,,Off-Peak Deliverability,,san bernardino,CA,SCE,NOL,Calcite Substation 230 kV,12/1/2025,3/1/2028,,NA,Complete,,NA,,Calcite,,34.19221773195081,-117.36526018448198,6,71,2002.7952516796918,1,0.12583716944684412,0.058463145916514685
CUERNO GRANDE WIND,2098,4/9/2021,ACTIVE,C14,Wind Turbine,,,Wind Turbine,,,150,,,150.0,,,,Full Capacity,,Off-Peak Deliverability,,san bernardino,CA,SCE,NOL,Lugo-Pisgah  230 kV,10/1/2025,10/1/2025,,NA,Complete,,NA,,,,34.16913700197876,-117.34201862584891,6,71,2706.880478165508,0,0.11919292284468617,0.0726170862236998
WESTON STORAGE,2101,4/8/2021,ACTIVE,C14,Storage,,,Battery,,,213.5957,,,200.0,,,,Full Capacity,,Off-Peak Deliverability,,san bernardino,CA,SCE,NOL,Kramer Substation 230 kV,10/1/2025,10/1/2025,,NA,Complete,,NA,,Kramer,Kramer,34.98947998,-117.542396,6,71,420.4066940455024,0,0.44130358090449273,0.017957980691558077
CADY SOLAR,2103,4/9/2021,ACTIVE,C14,Photovoltaic,Storage,,Solar,Battery,,312.96,312.96,,300.0,,,,Full Capacity,,Off-Peak Deliverability,,san bernardino,CA,SCE,NOL,Pisgah Substation 230 kV,11/30/2025,10/10/2030,,NA,Complete,,NA,,Pisgah,Pisgah,34.78158159,-116.3847321,6,71,1975.2195322249172,0,0.024270523647169768,0.022829255105253275
DOS PALMAS,2104,4/9/2021,ACTIVE,C14,Storage,,,Battery,,,410.76,,,400.0,,,,Full Capacity,,,,san bernardino,CA,SCE,NOL,Victor Substation 230 kV,11/30/2025,10/10/2030,,NA,Complete,,NA,,Victor,Victor,34.5049404,-117.3883869,6,71,1998.6549205842696,0,0.08341934318382561,
CONDUIT ENERGY STORAGE,2105,4/14/2021,ACTIVE,C14,Storage,,,Battery,,,512.58,,,500.0,,,,Full Capacity,,,,san bernardino,CA,SCE,NOL,Lugo Substation 500 kV,6/1/2025,10/10/2030,,NA,Complete,,NA,,Lugo,Lugo,34.36662839,-117.3686305,6,71,1073.1324800782074,0,0.03922063815674282,
ADAGIO,2109,4/1/2021,ACTIVE,C14,Storage,,,Battery,,,405.663412,,,400.0,,,,Full Capacity,,,,los angeles,CA,SCE,Metro,Hinson Substation 230 kV,6/30/2024,10/11/2030,,NA,Complete,,NA,,Hinson,Hinson,33.81926898,-118.222539,6,37,1162.93092120747,0,0.34701650183052274,0.053389510886629785
FLEA FLICKER ENERGY STORAGE,2110,4/1/2021,ACTIVE,C14,Storage,,,Battery,,,213.55,,,200.0,,,,Full Capacity,,,,los angeles,CA,SCE,Northern,Vincent Substation 230 kV,6/1/2024,6/1/2024,,NA,Complete,,NA,,Vincent,Vincent,34.48596597,-118.1184808,6,37,2350.0843036996403,1,0.03656127071827804,0.023316840873773073
FLEETWOOD,2111,4/1/2021,ACTIVE,C14,Storage,,,Battery,,,405.514808,,,400.0,,,,Full Capacity,,,,los angeles,CA,SCE,Metro,Litehipe Substation 230 kV,6/30/2024,10/11/2030,,NA,Complete,,NA,,Lighthipe,Lighthipe,33.88057686,-118.1750339,6,37,549.9970138454506,1,0.1986942202989176,0.09181456546323843
GABRIEL STORAGE,2113,4/1/2021,ACTIVE,C14,Storage,,,Battery,,,405.750886,,,400.0,,,,Full Capacity,,,,los angeles,CA,SCE,Metro,Rio Hondo Substation 230 kV,6/30/2024,10/11/2030,,NA,Complete,,NA,,Rio Hondo,Rio Hondo,34.10513457,-117.9807996,6,37,1065.5157503796004,1,0.10086326018712911,0.0707801082947341
DIRAC,2114,4/1/2021,ACTIVE,C14,Storage,,,Battery,,,403.4,,,400.0,,,,Full Capacity,,,,san bernardino,CA,SCE,Metro,Chino Substation 230 kV,6/30/2024,10/11/2030,,NA,Complete,,NA,,Chino,Chino,33.99835904,-117.6785434,6,71,1097.7499309136633,1,0.13704277318554783,0.09450235448404284
SIMON,2115,4/1/2021,ACTIVE,C14,Storage,,,Battery,,,405.750886,,,400.0,,,,Full Capacity,,,,los angeles,CA,SCE,Northern,La Cienega Substation 230 kV,6/30/2024,10/11/2030,,NA,Complete,,NA,,La Cienega,La Cienega,34.000738,-118.378327,6,37,235.95190664058836,1,0.11795146881288114,0.046672310132816815
MARICI,2116,4/1/2021,ACTIVE,C14,Storage,,,Battery,,,405.514808,,,400.0,,,,Full Capacity,,,,los angeles,CA,SCE,Metro,Walnut Substation 230 kV,6/30/2024,10/11/2030,,NA,Complete,,NA,,Walnut,Walnut,34.00827064,-117.9499278,6,37,691.2883507639979,1,0.4028254566950284,0.06603817945889351
CORAL REEF,2117,4/1/2021,ACTIVE,C14,Storage,,,Battery,,,405.663412,,,400.0,,,,Full Capacity,,,,los angeles,CA,SCE,Metro,El Nido Substation 230 kV,6/30/2024,10/11/2030,,NA,Complete,,NA,,El Nido,El Nido,33.8956586,-118.3733221,6,37,2097.216130611527,1,0.19927104065140913,0.044185977063921134
GREENWOOD ENERGY STORAGE,2121,4/6/2021,ACTIVE,C14,Storage,,,Battery,,,252,,,252.0,,,,Full Capacity,,,,los angeles,CA,SCE,Metro,Mesa Substation 500 kV,8/1/2024,8/1/2024,,NA,Complete,,NA,,Mesa,Mesa,34.03726282,-118.1104702,6,37,2542.4227815689364,0,0.16358591838304218,
TABLA ENERGY STORAGE,2124,4/6/2021,ACTIVE,C14,Storage,,,Battery,,,302.4,,,300.0,,,,Full Capacity,,,,los angeles,CA,SCE,Metro,Rio Hondo Substation 230 kV,8/1/2024,8/1/2024,,NA,Complete,,NA,,Rio Hondo,Rio Hondo,34.10513457,-117.9807996,6,37,2385.409544311002,1,0.10086326018712911,0.0707801082947341
